"filename", "language", "HTML", "JSON", "JavaScript", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-and-population-change-information\TemperatureAndPopulationChangeInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -49, 0, -2, -51
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\ImageWithWarning.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -27, 0, -4, -31
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureChangeInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -48, 0, -6, -54
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -8, 0, -2, -10
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperaturePercentageChangeInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -20, 0, -1, -21
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureRawChangeInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -17, 0, -3, -20
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\settings-side-bar\SettingsSideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -35, 0, -2, -37
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.css", "PostCSS", 0, 0, 0, -7, 0, 0, 0, -1, -8
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.js", "JavaScript", 0, 0, -13, 0, 0, 0, -3, -2, -18
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\SimilarPeriodCities.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -107, 0, -4, -111
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -13, 0, -2, -15
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -32, 0, -4, -36
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -11, 0, -3, -14
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\NavigationBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -27, 0, -4, -31
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -4, 0, -1, -5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\ChoroplethMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -119, -3, -5, -127
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\MapPreviewSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -161, -5, -10, -176
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\WorldInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -2, 0, -1, -3
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -47, 0, -1, -48
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -45, 0, -1, -46
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\ShallowGlanceCitiesAndStates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -126, -4, -9, -139
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\TableHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -34, 0, -1, -35
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\CountriesChangeDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -52, 0, -4, -56
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\ShallowGlanceCountries.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -79, 0, -7, -86
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\TableHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -29, 0, -1, -30
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\ShallowGlanceWorld.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -94, -1, -6, -101
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\SortArrowIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -14, 0, -2, -16
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\TableHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -40, 0, -3, -43
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\Title.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -36, 0, -4, -40
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\WorldDataChangeDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -60, 0, -4, -64
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -4, 0, -2, -6
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\reportWebVitals.js", "JavaScript", 0, 0, -12, 0, 0, 0, 0, -2, -14
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\setupTests.js", "JavaScript", 0, 0, -1, 0, 0, 0, -4, -1, -6
"Total", "-", 20, 25, -78, -40, -1212, -2137, 0, -178, -3600
