"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.js", "JavaScript", 5, 0, 0, 0, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\DataDisplay.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\countries\SimilarPeriodCountries.jsx", "JavaScript JSX", 0, 148, 0, 8, 156
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\states\SimilarPeriodStates.jsx", "JavaScript JSX", 0, -19, 0, 2, -17
"Total", "-", 5, 134, 0, 10, 149
